date,equity
2018-12-18,12.107446908544658
2018-12-19,12.187019158481638
2018-12-20,12.227814971630472
2018-12-21,12.14943032093983
2018-12-24,12.128960749275974
2018-12-26,12.093133266106
2018-12-27,11.946869712857966
2018-12-28,12.10051478698072
2018-12-31,12.139535161378443
2019-01-01,12.25350176431441
2019-01-02,12.073960773542945
2019-01-03,12.046131878879985
2019-01-04,12.005299174814116
2019-01-07,12.051769010819491
2019-01-08,12.141502255505767
2019-01-09,12.151900770486503
2019-01-10,12.198142239749433
2019-01-11,12.125913311970923
2019-01-14,12.115620030458043
2019-01-15,12.211687172379786
2019-01-16,12.156057358140554
2019-01-17,12.174336512583258
2019-01-18,12.112762409530083
2019-01-21,11.948894547776003
2019-01-22,11.958970626231364
2019-01-23,12.003583630992612
2019-01-24,11.976618812134081
2019-01-25,11.817279765853332
2019-01-28,11.373940341451231
2019-01-29,11.53516154626891
2019-01-30,11.676282785453122
2019-01-31,11.816483186869023
2019-02-01,11.841628679079236
2019-02-04,11.739855700479385
2019-02-05,11.583796394826933
2019-02-06,11.860369832722654
2019-02-07,11.70944746772243
2019-02-08,11.467287408711547
2019-02-11,11.436577399852379
2019-02-12,11.434599936912589
2019-02-14,11.777277280532225
2019-02-15,11.96237197114391
2019-02-18,11.866218303554325
2019-02-19,11.849175789577156
2019-02-20,12.001649148598608
2019-02-21,11.961231350326479
2019-02-22,12.132074774647064
2019-02-25,12.173904970407737
2019-02-26,12.47016020008111
2019-02-27,12.451507013954052
2019-02-28,12.401937115685717
2019-03-01,12.354128077065672
2019-03-05,12.437825994345197
2019-03-06,12.619073181620315
2019-03-07,12.651719123845028
2019-03-08,12.761505185761404
2019-03-11,12.899858849696551
2019-03-12,13.257509279391885
2019-03-13,13.169871978371452
2019-03-14,13.036262064913762
2019-03-15,13.028868048395658
2019-03-18,12.873600605562384
2019-03-19,13.005336735616549
2019-03-20,12.995799943134513
2019-03-22,13.097029021474384
2019-03-25,12.847760471746366
2019-03-26,12.983128908727654
2019-03-27,13.042822359523475
2019-03-28,13.189341685608237
2019-04-01,13.268562780739765
2019-04-02,13.260980081082321
2019-04-03,13.250068319090506
2019-04-04,13.210199048458266
2019-04-05,13.271223859129744
2019-04-08,13.142582370134999
2019-04-09,13.20495675705871
2019-04-10,13.13541208252441
2019-04-11,13.167726171690132
2019-04-12,13.389314604402603
2019-04-15,13.445107192648996
2019-04-16,13.48795731319114
2019-04-18,13.396655009111239
2019-04-22,13.054579721897653
2019-04-23,13.195850110577823
2019-04-24,13.307640166591298
2019-04-25,13.120486342247219
2019-04-26,12.924160838019047
2019-04-30,12.839955298508315
2019-05-02,12.740962090919837
2019-05-03,12.68577932349826
2019-05-06,12.509425034476228
2019-05-07,12.353002505717157
2019-05-08,12.31790535334385
2019-05-09,12.24636757837175
2019-05-10,12.353667770074624
2019-05-13,12.098620325774942
2019-05-14,12.193161113211751
2019-05-15,11.91052339208867
2019-05-16,12.05532221400088
2019-05-17,12.087292976492375
2019-05-20,12.501925063903267
2019-05-21,12.548873768185192
2019-05-22,12.632194906325422
2019-05-23,12.452803647711692
2019-05-24,12.736781780620117
2019-05-27,12.881006996139732
2019-05-28,12.895521050375557
2019-05-29,12.976746145424286
2019-05-30,13.353200917896492
2019-05-31,13.030980777124993
2019-06-03,13.482133451545526
2019-06-04,13.533171785636469
2019-06-06,13.565837012690293
2019-06-07,13.497872913795844
2019-06-10,13.499837016571037
2019-06-11,13.598015793858169
2019-06-12,13.573710276322092
2019-06-13,13.550308225913474
2019-06-14,13.505664570454249
2019-06-17,13.3399080607584
2019-06-18,13.110998929109194
