ticker,score,rebalance_date
VOLTAS,-0.024808745806887522,2026-06-28
DABUR,-0.03128561582674183,2026-06-28
HONAUT,-0.03545721141029057,2026-06-28
GAIL,-0.036168282149098285,2026-06-28
DMART,-0.040904102116790075,2026-06-28
LICHSGFIN,-0.0476002587403207,2026-06-28
MRF,-0.053495585379062294,2026-06-28
ICICIGI,-0.058035039906414565,2026-06-28
CASTROLIND,-0.06454903121550792,2026-06-28
APOLLOTYRE,-0.07493841695287484,2026-06-28
KANSAINER,-0.07502650491380836,2026-06-28
AEGISLOG,-0.08365117448411896,2026-06-28
BALKRISIND,-0.08741283233149477,2026-06-28
IOB,-0.08973670185507843,2026-06-28
DEEPAKNTR,-0.0911556346357717,2026-06-28
RECLTD,-0.0922665670694861,2026-06-28
FINPIPE,-0.093665571498743,2026-06-28
SRF,-0.0939425535130749,2026-06-28
FACT,-0.09567859614088892,2026-06-28
ESCORTS,-0.09847223978656361,2026-06-28
LICI,-0.10201751975530893,2026-06-28
HAL,-0.10223959722970255,2026-06-28
GODREJCP,-0.10610291388890747,2026-06-28
OBEROIRLTY,-0.10988013490544557,2026-06-28
CHAMBLFERT,-0.1142991892353904,2026-06-28
SHREECEM,-0.11613108348023926,2026-06-28
DALBHARAT,-0.11779392552419987,2026-06-28
COLPAL,-0.12168491004008997,2026-06-28
RAMCOCEM,-0.12229012721821486,2026-06-28
INDHOTEL,-0.12536614088431464,2026-06-28
ABFRL,-0.1303286129003257,2026-06-28
SUNTV,-0.13764647231913552,2026-06-28
AMBUJACEM,-0.1381573016705998,2026-06-28
PAGEIND,-0.1388260592882531,2026-06-28
VEDL,-0.15048135304227372,2026-06-28
INDIGO,-0.15070076061943916,2026-06-28
TATACHEM,-0.15243199386510142,2026-06-28
MPHASIS,-0.15525498282701045,2026-06-28
CROMPTON,-0.1560765564004779,2026-06-28
GODREJIND,-0.15899149011053948,2026-06-28
PERSISTENT,-0.15983234180115968,2026-06-28
DIXON,-0.16272290549342627,2026-06-28
GUJGASLTD,-0.16587573264449873,2026-06-28
ICICIPRULI,-0.17491121000826293,2026-06-28
IGL,-0.17852642249260287,2026-06-28
PRESTIGE,-0.18346953256480725,2026-06-28
SUPREMEIND,-0.18381553381440185,2026-06-28
CONCOR,-0.1884698658402616,2026-06-28
INDIAMART,-0.1888451308555158,2026-06-28
MGL,-0.1898900543726767,2026-06-28
COROMANDEL,-0.20294269753258498,2026-06-28
HAVELLS,-0.20393952563663897,2026-06-28
SJVN,-0.2064918588625816,2026-06-28
ACC,-0.21744380410076625,2026-06-28
BAJAJHLDNG,-0.21921018425518712,2026-06-28
IRFC,-0.2467076494705992,2026-06-28
CDSL,-0.25617441354039816,2026-06-28
GODREJPROP,-0.2645559310913086,2026-06-28
SYNGENE,-0.2691809828462344,2026-06-28
